time_window,id.orig_h,id.resp_h,ts_count,ts_min,ts_max,tid_nunique,unit_nunique,id.orig_p_nunique,duration,transaction_rate,iat_mean,iat_std,iat_min,iat_max
29376234,192.168.0.11,192.168.0.12,2700,1.76257404e+09,1.7625741e+09,893,1,1,59.8009007,45.0,0.022222501,0.06258561,0.0,0.208029032
29376234,192.168.0.12,192.168.0.11,900,1.76257404e+09,1.7625741e+09,300,1,1,59.8003242,15.0,0.066666171,0.094169505,0.0,0.201592922
29376234,192.168.0.21,192.168.0.11,2880,1.76257404e+09,1.7625741e+09,948,1,1,59.50153327,48.0,0.020833223,0.099713787,0.0,0.500891685
29376234,192.168.0.21,192.168.0.12,1800,1.76257404e+09,1.7625741e+09,598,1,1,59.50110197,30.0,0.033333142,0.124560155,0.0,0.500972986
29376235,192.168.0.11,192.168.0.12,2700,1.7625741e+09,1.76257416e+09,892,1,1,59.80079222,45.0,0.022222292,0.062579054,0.0,0.201756239
29376235,192.168.0.12,192.168.0.11,900,1.7625741e+09,1.76257416e+09,300,1,1,59.80030775,15.0,0.066667263,0.094167236,0.0,0.200668812
29376235,192.168.0.21,192.168.0.11,2880,1.7625741e+09,1.76257416e+09,952,1,1,59.50118613,48.0,0.02083343,0.099680332,0.0,0.500034094
29376235,192.168.0.21,192.168.0.12,1800,1.7625741e+09,1.76257416e+09,599,1,1,59.50119019,30.0,0.033333485,0.124580691,0.0,0.500550985
29376236,192.168.0.11,192.168.0.12,2700,1.76257416e+09,1.76257422e+09,896,1,1,59.80212474,45.0,0.022222671,0.062583543,0.0,0.208304405
29376236,192.168.0.12,192.168.0.11,900,1.76257416e+09,1.76257422e+09,299,1,1,59.80004597,15.0,0.066666011,0.094176841,0.0,0.201279879
29376236,192.168.0.21,192.168.0.11,2880,1.76257416e+09,1.76257422e+09,958,1,1,59.50126624,48.0,0.020833187,0.099691116,0.0,0.500081301
29376236,192.168.0.21,192.168.0.12,1800,1.76257416e+09,1.76257422e+09,595,1,1,59.5006671,30.0,0.033333057,0.12459304,0.0,0.50052309
29376237,192.168.0.11,192.168.0.12,2700,1.76257422e+09,1.76257428e+09,896,1,1,59.80145502,45.0,0.022221941,0.062575203,0.0,0.208290339
29376237,192.168.0.12,192.168.0.11,900,1.76257422e+09,1.76257428e+09,299,1,1,59.80054927,15.0,0.066666982,0.094173082,0.0,0.200891972
29376237,192.168.0.21,192.168.0.11,2880,1.76257422e+09,1.76257428e+09,950,1,1,59.50197196,48.0,0.020833646,0.09968037,0.0,0.499790907
29376237,192.168.0.21,192.168.0.12,1800,1.76257422e+09,1.76257428e+09,596,1,1,59.50144386,30.0,0.033333778,0.124590244,0.0,0.500393867
29376258,192.168.0.11,192.168.0.12,2700,1.76257548e+09,1.76257554e+09,896,1,1,59.80103374,45.0,0.022222221,0.062580842,0.0,0.20113039
29376258,192.168.0.12,192.168.0.11,900,1.76257548e+09,1.76257554e+09,300,1,1,59.8004849,15.0,0.066667172,0.094180084,0.0,0.200807095
